292.05	 γε;	 γε	 γέ	 γε
293.02	 γε.	 γε	 γέ	 γε
294.07	 ἠρώτων·	 ἠρώτων	 ἠρώτων	 ἐρωτάω
295.06	 ὅσιον;	 ὅσιον	 ὅσιον	 ὅσιος
296.13	 ὅσιον·	 ὅσιον	 ὅσιον	 ὅσιος
297.06	 ὅσιον;	 ὅσιον	 ὅσιον	 ὅσιος
298.06	 δοκεῖ;	 δοκεῖ	 δοκεῖ	 δοκέω
299.03	 οὕτω.	 οὕτω	 οὕτω	 οὕτως
300.05	 λέγειν.	 λέγειν	 λέγειν	 λέγω
301.05	 τοῦτο.	 τοῦτο	 τοῦτο	 οὗτος
302.22	 ὅσιον.	 ὅσιον	 ὅσιον	 ὅσιος
303.33	 ἰσοσκελής·	 ἰσοσκελής	 ἰσοσκελής	 ἰσοσκελής
304.04	 σοι;	 σοι	 σοι	 σύ
305.01	 ἔμοιγε.	 ἔμοιγε	 ἔμοιγε	 ἐγώ
306.38	 μή.	 μή	 μή	 μή
307.33	 μέρος.	 μέρος	 μέρος	 μέρος
308.14	 εἰμι·	 εἰμι	 εἰμί	 εἰμί
309.07	 ὀνομάζεις.	 ὀνομάζεις	 ὀνομάζεις	 ὀνομάζω
310.30	 ἱππικός·	 ἱππικός	 ἱππικός	 ἱππικός
311.02	 γάρ;	 γάρ	 γάρ	 γάρ
312.02	 γε.	 γε	 γέ	 γε
313.06	 θεραπεία.	 θεραπεία	 θεραπεία	 θεραπεία
314.01	 ναί.	 ναί	 ναί	 ναί
315.09	 κυνηγετικός.	 κυνηγετικός	 κυνηγετικός	 κυνηγετικός
316.01	 οὕτω.	 οὕτω	 οὕτω	 οὕτως
317.06	 θεραπεία.	 θεραπεία	 θεραπεία	 θεραπεία
318.01	 ναί.	 ναί	 ναί	 ναί
319.05	 βοῶν.	 βοῶν	 βοῶν	 βόα
320.02	 γε.	 γε	 γέ	 γε
321.10	 Εὐθύφρων;	 Εὐθύφρων	 Εὐθύφρων	 εὐθύφρων
322.02	 λέγεις;	 λέγεις	 λέγεις	 λέγω
323.01	 ἔγωγε.	 ἔγωγε	 ἔγωγε	 ἐγώ
324.06	 διαπράττεται;	 διαπράττεται	 διαπράττεται	 διαπράσσω
325.02	 τοιόνδε·	 τοιόνδε	 τοιόνδε	 τοιόσδε
326.22	 γίγνονται·	 γίγνονται	 γίγνονται	 γίγνομαι
327.04	 σοι;	 σοι	 σοι	 σύ
328.01	 ἔμοιγε.	 ἔμοιγε	 ἔμοιγε	 ἐγώ
329.18	 ὡσαύτως·	 ὡσαύτως	 ὡσαύτως	 ὡσαύτως
330.09	 εἶναι;	 εἶναι	 εἶναι	 εἰμί
331.04	 ἔγωγε.	 ἔγωγε	 ἔγωγε	 ἐγώ
332.03	 ὠφελίᾳ;	 ὠφελίᾳ	 ὠφελίᾳ	 ὠφέλεια
